event_id,label
0,5
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,3
10,3
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,0
21,0
22,3
23,5
24,0
25,0
26,0
27,0
28,2
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,5
40,0
41,0
42,3
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,1
53,0
54,0
55,1
56,0
57,3
58,0
59,0
60,0
61,0
62,0
63,0
64,5
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,2
81,0
82,0
83,0
84,0
85,0
86,0
87,5
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,2
96,0
97,2
98,3
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,5
108,0
109,0
110,0
111,2
112,5
113,2
114,0
115,5
116,0
117,0
118,2
119,0
120,2
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,2
129,0
130,0
131,0
132,0
133,0
134,2
135,0
136,0
137,2
138,0
139,0
140,0
141,0
142,3
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,3
153,0
154,0
155,0
156,0
157,5
158,0
159,0
160,3
161,0
162,0
163,0
164,0
165,2
166,1
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,1
182,0
183,0
184,0
185,0
186,0
187,0
188,5
189,0
190,1
191,3
192,0
193,0
194,0
195,2
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,3
204,0
205,0
206,0
207,0
208,0
209,3
210,2
211,0
212,2
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,5
226,0
227,0
228,0
229,2
230,0
231,3
232,0
233,0
234,0
235,1
236,0
237,0
238,0
239,0
240,0
241,1
242,0
243,0
244,0
245,0
246,0
247,0
248,3
249,0
250,3
251,5
252,0
253,5
254,0
255,0
256,0
257,5
258,2
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,5
270,0
271,0
272,0
273,0
274,0
275,3
276,0
277,0
278,0
279,0
280,0
281,0
282,2
283,1
284,2
285,0
286,3
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,5
296,0
297,0
298,0
299,0
300,2
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,2
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,1
325,3
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,3
336,0
337,0
338,3
339,0
340,0
341,3
342,0
343,0
344,0
345,0
346,0
347,0
348,3
349,0
350,0
351,1
352,0
353,0
354,0
355,0
356,2
357,0
358,0
359,0
360,0
361,0
362,0
363,5
364,0
365,0
366,0
367,1
368,0
369,0
370,3
371,0
372,0
373,0
374,3
375,2
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,3
386,0
387,2
388,2
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,3
407,0
408,0
409,0
410,0
411,3
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,5
444,2
445,0
446,1
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,5
455,0
456,2
457,0
458,2
459,0
460,0
461,0
462,0
463,0
464,0
465,5
466,0
467,0
468,5
469,2
470,0
471,0
472,0
473,1
474,2
475,0
476,2
477,0
478,1
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,1
488,1
489,0
490,2
491,0
492,5
493,0
494,0
495,1
496,0
497,0
498,0
499,0
500,0
501,3
502,0
503,0
504,0
